Title,Link,Days Left,Description,Tags
Large Scale Numerical Data Entry,https://www.freelancer.in/projects/excel/large-scale-numerical-data-entry,6 days left,"I'm in need of a data entry specialist to help with a large scale data entry task. The data that you will be working with is predominantly numerical in nature. Key Responsibilities: - Entering a high volume of data accurately and efficiently - Ensuring the integrity and security of the data provided Ideal Skills and Experience: - Proven experience in data entry, particul...Proven experience in data entry, particularly with numerical data - High level of accuracy and attention to detail - Proficiency in relevant software/tools for data entry - Ability to handle a large volume of data without compromising on quality I'm looking for someone who can commit to delivering high-quality work within a specified timeframe. Please include your previous experience in similar ...","Data Entry, Data Processing, Excel, Statistics, Web Search"
Boost Woocommerce SEO,https://www.freelancer.in/projects/seo/boost-woocommerce-seo,6 days left,"I'm keen to engage a seasoned SEO specialist to bolster the search engine optimization of my Woocommerce website. My primary objectives are to boost organic traffic and enhance the position of my website in search engine rankings. that can help: RankersX lifetime, Buzzsumo, VPS - I'm targeting a national audienc... Buzzsumo, VPS - I'm targeting a national audience and need the chosen freelancer to tailor the SEO strategy to this demographic. - While I have some initial ideas for keywords and phrases, I'm looking for a professional who can provide guidance on refining these and developing a comprehensive keyword strategy. Skills/Experience required: - Proven track record of successful Woocommerce SEO - Experience in increasing organic traffic and im...","Internet Marketing, Link Building, PHP, SEO, WordPress"
Squarespace Portfolio Website Creation,https://www.freelancer.in/projects/website-design/squarespace-portfolio-website-creation,6 days left,"I'm in need of a professional who can build a Squarespace website showcasing my portfolio for potential clients. The website should be informative, visually appealing, user-friendly, and ...skills - Experience in creating portfolio websites targeting potential clients - Ability to arrange and present texts and images in a cohesive, attractive manner An understanding of how to effectively engage potential clients through web design is necessary. The goal is to present my work in a way that convinces visitors of my expertise and encourages them to get in touch or hire me for their . You'll be working primarily with text and image content provided by me. If you bring a creative eye, technical prowess and have a knack for creating client-attracting websites, I'...","Graphic Design, HTML, PHP, User Interface / IA, Website Design"
Branding Graphic Design Project,https://www.freelancer.in/projects/graphic-design/branding-graphic-design-project,6 days left,I'm looking for a talented designer to help me with a branding project. The successful candidate should showcase their previous works and experience in their application. Key requirements: - Past Work: Please provide a portfolio of your previous graphic design work. - Experience: Proven experience in branding projects preferred. - Communication: Ability to communicate design concepts effectively.,"Graphic Design, Illustrator, Logo Design, Photoshop, Photoshop Design"
GeneratePress Specialist for Blog Website,https://www.freelancer.in/projects/php/generatepress-specialist-for-blog,6 days left,"...across all devices. - Integrate necessary plugins and tools to support content management, SEO, and analytics. - Maintain clean and well-documented code. - Troubleshoot and resolve any issues or bugs that arise during development and post-launch. - Provide ongoing support and updates as needed. **Requirements:** - Proven experience as a WordPress developer with a strong portfolio of completed projects. - In-depth knowledge of the GeneratePress theme and its customization. - Proficiency in HTML, CSS, JavaScript, and PHP. - Experience with responsive and adaptive design principles. - Familiarity with SEO best practices and tools. - Ability to integrate third-party APIs and plugins. - Strong problem-solving skills and attention to detail. - Excellent communication skills and the ab...","Graphic Design, HTML, PHP, SEO, WordPress"
Professional Logo Design Creation,https://www.freelancer.in/projects/graphic-design/professional-logo-design-creation,6 days left,I am seeking a skilled graphic designer to create a logo. This project requires an individual with experience in crafting unique logos that speak effectively to the audience. Key Requirements: - Should be able to create a logo that combines both text and icon. - Demonstrate prior experience in creating professional logos. - Freedom to use co...designer to create a logo. This project requires an individual with experience in crafting unique logos that speak effectively to the audience. Key Requirements: - Should be able to create a logo that combines both text and icon. - Demonstrate prior experience in creating professional logos. - Freedom to use colors that best suits the logo design. Your portfolio showcasing your past logo design will greatly enhance your appeal for ...,"Graphic Design, Illustrator, Logo Design, Photoshop, Photoshop Design"
Transform Photo Perspective,https://www.freelancer.in/projects/photoshop/transform-photo-perspective,6 days left,"I am looking for a skilled photo editor who can aptly alter the angle perspective of a particular picture. In this project, the primary task will be: - Changing the angle perspective of the photo A freelancer with a goo...looking for a skilled photo editor who can aptly alter the angle perspective of a particular picture. In this project, the primary task will be: - Changing the angle perspective of the photo A freelancer with a good understanding and command over technicalities such as spatial geometry and photo manipulation techniques would be the ideal match for this job. Prior experience in handling similar will be highly appreciated. The goal of this project is not just to alter the perspective but to do it in a way that the end result looks natural and aesthetically...","Graphic Design, Illustrator, Photo Editing, Photoshop, Photoshop Design"
E-commerce WordPress Developer Needed Urgently,https://www.freelancer.in/projects/php/commerce-wordpress-developer-needed-38183314,6 days left,"I am in urgent need of a WordPress expert to help me set up an e-commerce website. The website will have less than 50 products initially. Key requirements include:...can easily customize and order products. I am looking for someone with: - Extensive experience in WordPress and e-commerce development, with a portfolio of successful e-commerce projects. - Proficiency in integrating various payment gateways, with a focus on security and user experience. - A creative touch when it comes to customizing products on an e-commerce platform. The ideal candidate should be able to start immediately and work efficiently to meet the urgent deadline. Your ability to deliver high-quality work under tight timelines will be crucial. Please provide examples of your previous e-commerce ...","eCommerce, HTML, PHP, Website Design, WordPress"
Private project or contest #38183318,"https://www.freelancer.in/login?goto=N2U1MWVlYzFiNjA2ZmZlNjIxYTY0ZDU2MmNhZjJlMGNodHRwczovL3d3dy5mcmVlbGFuY2VyLmluL3Byb2plY3RzL2FtYXpvbi13ZWItc2VydmljZXMvYW1hem9uLWRhdGEtc2NyYXBpbmctZXhwZXJ0LW5lZWRlZA,,",6 days left,Please Sign Up or Login to see details.,"Amazon Web Services, Data Mining, Python, Software Architecture, Web Scraping"
Large Residential Two-Story Floor Plan,https://www.freelancer.in/projects/building-architecture/large-residential-two-story-floor,6 days left,"I'm in need of a detailed floor plan for a large residential propert...levels. This plan is intended for residential use only. Key Requirements: - The floor plan should be created in a way that makes the most out of the available space on both levels. - I need the project to be completed with a focus on accuracy and a clear representation of the layout of the property. - It is important that the plan is detailed enough to assist with future design and renovation projects. Ideal Skills: - Proven experience in designing floor plans for residential properties, especially those with multiple levels. - Proficiency in using design software to create accurate and detailed floor plans. - Strong attention to detail and the ability to understand and incorporate my specific requirements...","AutoCAD, Building Architecture, Home Design, Interior Design"
